SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
5263,SHC Geer,SHC Geer,879,0324,51,10,,0,0
5265,SHC Kachhargaon,SHC Kachhargaon,953,0247,38,10,,0,0
5266,SHC SARASDOLI,SHC SARASDOLI,921,0260,41,6,,0,0
5267,SHC Sahavan,SHC Sahavan,1068,0256,40,20,,0,0
5268,SHC GUJHIYARI,SHC GUJHIYARI,921,0260,41,7,,0,0
5269,SHC Hulki,SHC Hulki,952,0252,39,22,,0,0
5270,SHC Panagar,SHC Panagar,1068,0256,40,21,,0,0
5271,SHC Jhirri,SHC Jhirri,943,0247,38,11,,0,0
5272,SHC Ghonghara,SHC Ghonghara,879,0324,51,11,,0,0
5273,SHC Katria,SHC Katria,943,0247,38,12,,0,0
5274,SHC UMARIYA,SHC UMARIYA,921,0260,41,8,,0,0
5275,SHC Nigri,SHC Nigri,952,0252,39,23,,0,0
5276,SHC Basuriya,SHC Basuriya,1068,0256,40,22,,0,0
5277,SHC MATIYARI,SHC MATIYARI,921,0260,41,9,,0,0
5278,SHC Pachama,SHC Pachama,1068,0256,40,23,,0,0
5279,SHC Khamhria,SHC Khamhria,943,0247,38,13,,0,0
5280,SHC Dagdaga hinotia,SHC Dagdaga hinotia,952,0252,39,24,,0,0
5281,SHC Khamtara,SHC Khamtara,943,0247,38,14,,0,0
5282,SHC Imaliya,SHC Imaliya,1068,0256,40,24,,0,0
5283,SHC Jodhpur,SHC Jodhpur,952,0252,39,25,,0,0
5284,SHC Jharkatia,SHC Jharkatia,879,0324,51,12,,0,0
5285,SHC KHAJRI,SHC KHAJRI,921,0260,41,10,,0,0
5287,SHC Barha Bada,SHC Barha Bada,1093,0256,40,25,,0,0
5288,SHC Pahrua,SHC Pahrua,943,0247,38,15,,0,0
5289,SHC Mohas,SHC Mohas,952,0252,39,26,,0,0
5290,SHC PINDRAI,SHC PINDRAI,925,0260,41,11,,0,0
5291,SHC Tarka,SHC Tarka,981,0321,50,31,,0,0
5292,SHC Katrihar,SHC Katrihar,879,0324,51,13,,0,0
5293,SHC Paraswada,SHC Paraswada,906,0295,45,28,,0,0
5295,SHC BILGARHA,SHC BILGARHA,925,0260,41,12,,0,0
5297,SHC Ghat pipariya,SHC Ghat pipariya,952,0252,39,27,,0,0
5299,SHC Atarsuma,SHC Atarsuma,950,0247,38,16,,0,0
5300,SHC Khatai,SHC Khatai,879,0324,51,14,,0,0
5301,SHC Harrai,SHC Harrai,952,0252,39,28,,0,0
5303,SHC Goura,SHC Goura,950,0247,38,17,,0,0
5304,SHC Linga,SHC Linga,906,0295,45,29,,0,0
5305,SHC Khokhba,SHC Khokhba,879,0324,51,15,,0,0
5306,SHC Karopani,SHC Karopani,950,0247,38,18,,0,0
5307,SHC Gotitoriya,SHC Gotitoriya,1093,0256,40,26,,0,0
5308,SHC CHAUBISA,SHC CHAUBISA,922,0260,41,13,,0,0
5309,SHC Mahgawa,SHC Mahgawa,950,0247,38,19,,0,0
5310,SHC Kyuntali,SHC Kyuntali,879,0324,51,16,,0,0
5311,SHC Thema,SHC Thema,906,0295,45,30,,0,0
5312,SHC Singhpur,SHC Singhpur,1093,0256,40,27,,0,0
5313,SHC HARRA,SHC HARRA,922,0260,41,14,,0,0
5315,SHC Silondi,SHC Silondi,950,0247,38,20,,0,0
5316,SHC Sukha Kheri,SHC Sukha Kheri,1091,0256,40,28,,0,0
5317,SHC RAI,SHC RAI,922,0260,41,15,,0,0
5318,SHC Nogai,SHC Nogai,879,0324,51,17,,0,0
5319,SHC Kundam,SHC Kundam,956,0254,39,1,,0,0
5320,SHC KHARAGWARA,SHC KHARAGWARA,922,0260,41,16,,0,0
5321,SHC Chichli,SHC Chichli,1091,0256,40,29,,0,0
5323,SHC Bairagi,SHC Bairagi,956,0254,39,2,,0,0
