TCode,Name_E,Name_G,BID
0321,Sihawal,Sihawal,217
0291,Khairlanji,Khairlanji,218
0257,Narsimhapur,Narsimhapur,219
0292,Lalbarra,Lalbarra,220
0258,Kareli,Kareli,221
0242,Rithi,Rithi,222
0318,Rampur Naikin,Rampur Naikin,223
0247,Dhimarkheda,Dhimarkheda,224
0320,Gopadbanas,Gopadbanas,225
0311,Jaisinghnagar,Jaisinghnagar,19
0293,Balaghat,Balaghat,227
0294,Kirnapur,Kirnapur,228
0246,Bahoriband,Bahoriband,229
0097,Hanumana,Hanumana,226
0311,Jaisinghnagar,Jaisinghnagar,18
0286,Barghat,Barghat,230
0245,Vijayraghavgarh,Vijayraghavgarh,231
0313,Jaitpur,Jaitpur,21
0281,Chhapara,Chhapara,233
0244,Badwara,Badwara,234
0297,Lanji,Lanji,235
0312,Sohagpur,Sohagpur,20
0323,Kusmi,Kusmi,214
0282,Ghansaur,Ghansaur,241
0318,Rampur Naikin,Rampur Naikin,223
0319,Churhat,Churhat,223
0320,Gopadbanas,Gopadbanas,225
0244,Badwara,Badwara,234
0282,Ghansaur,Ghansaur,239
0319,Churhat,Churhat,225
0243,Barhi,Barhi,234
0321,Sihawal,Sihawal,217
0246,Bahoriband,Bahoriband,229
0260,Shahpura,Shahpura,240
0260,Shahpura,Shahpura,242
0261,Dindori ,Dindori ,243
0284,Keolari,Keolari,244
0287,Kurai,Kurai,245
0247,Dhimarkheda,Dhimarkheda,224
0280,Lakhnadon,Lakhnadon,247
0261,Dindori ,Dindori ,248
0261,Dindori ,Dindori ,249
0285,Seoni,Seoni,250
0258,Kareli,Kareli,251
0288,Katangi,Katangi,213
0242,Rithi,Rithi,222
0245,Vijayraghavgarh,Vijayraghavgarh,231
0290,Waraseoni,Waraseoni,216
0291,Khairlanji,Khairlanji,218
0258,Kareli,Kareli,251
0256,Gadarwara,Gadarwara,253
0294,Kirnapur,Kirnapur,228
0282,Ghansaur,Ghansaur,239
0085,Nagod,Nagod,25
0285,Seoni,Seoni,250
0090,Ramnagar,Ramnagar,27
0284,Keolari,Keolari,244
0261,Dindori ,Dindori ,252
0326,Singrauli,Singrauli,254
0087,Rampur Baghelan,Rampur Baghelan,28
0088,Kotar,Kotar,28
0282,Ghansaur,Ghansaur,241
0082,Raghurajnagar,Raghurajnagar,26
0287,Kurai,Kurai,245
0260,Shahpura,Shahpura,242
0086,Unchahara,Unchahara,29
0260,Shahpura,Shahpura,240
0295,Baihar,Baihar,232
0244,Badwara,Badwara,257
0256,Gadarwara,Gadarwara,256
0295,Baihar,Baihar,258
0255,Gotegaon,Gotegaon,255
0103,Bandhogarh,Bandhogarh,259
0295,Baihar,Baihar,260
0295,Baihar,Baihar,260
0104,Chandia,Chandia,261
0107,Nowroazabad,Nowroazabad,262
0257,Narsimhapur,Narsimhapur,237
0105,Manpur,Manpur,263
0098,Mauganj,Mauganj,284
0295,Baihar,Baihar,232
0094,Sirmour(0094),Sirmour(0094),329
0106,Pali,Pali,266
0278,Bichhua,Bichhua,267
0254,Kundam,Kundam,269
0295,Baihar,Baihar,258
0248,Sihora(0248),Sihora(0248),270
0252,Jabalpur(0252),Jabalpur(0252),272
0248,Sihora,Sihora,279
0164,Indore,Indore,300
0164,Indore,Indore,300
0162,Hatod,Hatod,300
0161,Depalpur,Depalpur,301
0250,Patan(0250),Patan(0250),277
0161,Depalpur,Depalpur,301
0278,Bichhua,Bichhua,267
0270,Harrai,Harrai,273
0250,Patan,Patan,275
0248,Sihora,Sihora,279
0165,Mhow ,Mhow ,304
0259,Tendukheda,Tendukheda,238
0276,Mohkhed,Mohkhed,276
0098,Mauganj,Mauganj,284
0173,Bhagwanpura,Bhagwanpura,305
0170,Bhikangaon,Bhikangaon,306
0172,Gogaon,Gogaon,307
0163,Sawer,Sawer,308
0259,Tendukheda,Tendukheda,238
0256,Gadarwara,Gadarwara,253
0256,Gadarwara,Gadarwara,256
0311,Jaisinghnagar,Jaisinghnagar,285
0174,Jhiranya,Jhiranya,309
0168,Kasrawad,Kasrawad,310
0171,Khargone,Khargone,311
0167,Maheshwar,Maheshwar,312
0169,Segaon,Segaon,313
0335,Harsud,Harsud,314
0336,Khalwa,Khalwa,315
0166,Barwaha,Barwaha,302
0338,Punasa,Punasa,316
0339,Pandhana,Pandhana,317
0165,Mhow ,Mhow ,304
0173,Bhagwanpura,Bhagwanpura,305
0163,Sawer,Sawer,308
0170,Bhikangaon,Bhikangaon,306
0174,Jhiranya,Jhiranya,309
0337,Khandwa,Khandwa,319
0337,Khandwa,Khandwa,320
0168,Kasrawad,Kasrawad,310
0337,Khandwa,Khandwa,321
0337,Khandwa,Khandwa,320
0171,Khargone,Khargone,311
0180,Pansemal,Pansemal,323
0167,Maheshwar,Maheshwar,312
0169,Segaon,Segaon,313
0179,Rajpur,Rajpur,324
0336,Khalwa,Khalwa,315
0182,Sendhwa,Sendhwa,325
0177,Thikri,Thikri,326
0337,Khandwa,Khandwa,321
0335,Harsud,Harsud,314
0338,Punasa,Punasa,316
