PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1238,Kudi,कूडी	,,15,0113,130,,,1,0,False
1239,Kud,कूड	,,15,0113,130,,,1,0,False
1240,Salwa Khurd,सालवाखुर्द	,,15,0113,130,,,1,0,False
1241,Raatkuriya,रतकुडिया	,,15,0113,130,,,1,0,False
1242,Asop,आसोप,,15,0113,130,,,2,0,False
1243,Bhopalgarh,भोपालगढ,,15,0113,130,,,2,0,False
1244,Setrawa,सेंतरावा,,15,0115,131,,,1,0,False
1245,Sointra,सोईन्‍तरा,,15,0115,131,,,1,0,False
1246,Somesar,सोमेसर,,15,0115,131,,,1,0,False
1247,Tena,तेना,,15,0115,131,,,1,0,False
1248,shergarh,शेरढ	,,15,0116,131,,,2,0,False
1249,Dechu,देचू	,,15,0115,131,,,2,0,False
1250,Aagolai,अगोलाई	,,15,0111,132,,,1,0,False
1251,Ketukalaan,केतूकला	,,15,0111,132,,,1,0,False
1252,Birai,बिरई	,,15,0111,132,,,1,0,False
1253,Nathraoun,नाथडाउ	,,15,0111,132,,,1,0,False
1254,Balesar,बालेसर,,15,0115,132,,,2,0,False
1255,Chamu,चामू	,,15,0111,132,,,2,0,False
1256,Keru,केरू	,,15,0114,133,,,1,0,False
1257,Naarwa,नारवा	,,15,0114,133,,,1,0,False
1258,Banaad,बनाड	,,15,0114,133,,,2,0,False
1259,Bisalpur,बिसलपुर	,,15,0114,133,,,1,0,False
1260,Phidusar,फिदूसर	,,15,0114,133,,,1,0,False
1261,Salwakalaan,सालवाकला	,,15,0114,133,,,1,0,False
1262,CHAVUNDA,चावुन्‍डा,,15,0114,133,,,1,0,False
1263,Bhatinda,भ‍टींडा	,,15,0116,134,,,1,0,False
1264,Dhava,धवा	,,15,0116,134,,,1,0,False
1265,Guda Vishnoiyan,गुड्रडा बिशनोईयान	,,15,0116,134,,,1,0,False
1266,Jhanwar,झंवर	,,15,0116,134,,,2,0,False
1267,Khejdlikalaan,खेजली कला	,,15,0116,134,,,1,0,False
1268,Satlana,सतलाना	,,15,0116,134,,,1,0,False
1269,Dhundhuad,घुन्‍घाडा,,15,0112,134,,,2,0,False
1270,Salawas,सालावास	,,15,0116,134,,,2,0,False
1271,Luni,लूनी,,15,0116,134,,,2,0,False
1272,Bala,बाला	,,15,0117,135,,,1,0,False
1273,Bhavi,भावि	,,15,0117,135,,,1,0,False
1274,Jhak,झाक	,,15,0117,135,,,1,0,False
1275,Kaprda,कापरडा	,,15,0117,135,,,1,0,False
1276,Khariya Mithapur,खारिया मीठापुर,,15,0117,135,,,1,0,False
1277,Khejdla,खेजडला	,,15,0117,135,,,1,0,False
1278,Ransigaon,रंडसिह गाव	,,15,0117,135,,,1,0,False
1279,Tilwasni,तिलवासनी	,,15,0117,135,,,1,0,False
1280,Bilara,बिलाडा,,15,0117,135,,,2,0,False
1281,Piparcity,पिपाड शहर	,,15,0117,135,,,2,0,False
1282,Borunda,बोरून्‍‍दा	,,15,0117,135,,,2,0,False
1283,Bawri,बावडी	,,15,0112,136,,,2,0,False
1284,Ganganni,गंगानी	,,15,0112,136,,,1,0,False
1285,Daawara,डावरा	,,15,0112,136,,,1,0,False
1286,Dhanarikalaa,धनारीकला	,,15,0112,136,,,1,0,False
1287,Barakalaa,बाराकला	,,15,0112,136,,,1,0,False
1288,District Hospital Mahillabag Jodhpur,जिला असपताल महीलाबाग,,15,0000,,,,5,0,False
1289,District Hospital Paota, Jodhpur,जिला असपताल पावटा,,15,0000,,,,5,0,False
1290,Satellite Hospital Mandor, Jodhpur,सेटेलाईट होसपिटल मणोर	,,15,0000,,,,7,0,False
1291,Mahatma Ghandhi Hospital, Jodhpur,महातमा गॉघि असपताल ,,15,0000,,,,17,0,False
1292,Mathura Das Mathur Hospital, Jodhpur,मथुरा दास माथुर असपताल,,15,0000,,,,17,0,False
