PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
728,Sri Sai Hospital,Sri Sai Hospital,,13,0101,6,507,0,100,0,False
729,Mother Care,Mother Care,,13,0101,6,508,0,100,0,False
730,Prudence Hospital,Prudence Hospital,,13,0101,6,509,0,100,0,False
731,Hope Hospital,Hope Hospital,,13,0101,6,510,0,100,0,False
732,St. Paul Healthways,St. Paul Healthways,,13,0101,6,511,0,100,0,False
733,Muskan Hosp. and Research Centre,Muskan Hosp. and Research Centre,,13,0101,6,512,0,100,0,False
734,K. M. Memorial,K .M. Memorial,,13,0101,6,513,0,100,0,False
735,Neelam Hospital,Neelam Hospital,,13,0101,6,514,0,100,0,False
736,PHC MARGOMUNDA,PHC MARGOMUNDA,,7,0058,22,503,0,1,0,False
737,SDH CHAS,SDH CHAS,,13,0101,6,515,0,4,0,False
738,SDH PHUSRO,SDH PHUSRO,,13,0096,4,502,0,4,0,False
739,SDH TENUGHAT,SDH PHUSRO,,13,0097,7,502,0,4,0,False
740,OTHER PRIVATE FACILITIES,OTHER PRIVATE FACILITIES,,8,0068,68,504,0,100,0,False
741,SADAR HOSPITAL KODERMA,SADAR HOSPITAL KODERMA,,5,0033,98,506,0,5,0,False
742,SADAR HOSPITAL,SADAR HOSPITAL,,18,0112,146,504,0,5,0,False
743,SADAR HOSPITAL,SADAR HOSPITAL,,23,0179,32,512,0,5,0,False
744,STATE DISPENSARY,STATE DISPENSARY,,13,0101,6,516,0,1,0,False
745,PHC CHIRACHAS,PHC CHIRACHAS,,13,0101,6,517,0,1,0,False
746,SADAR HOSPITAL,SADAR HOSPITAL,,13,0101,6,518,0,5,0,False
404,CHC KHARSAWAN,CHC KHARSAWAN,,30,0253,176,501,,2,0,False
405,PHC MANGUDIH,PHC MANGUDIH,,30,0253,176,502,,1,0,False
406,CHC CHANDIL,CHC CHANDIL,,30,0254,172,501,,2,0,False
407,PHC CHAOKA,PHC CHAOKA,,30,0254,172,502,,1,0,False
408,PHC CHAOLIBASA,PHC CHAOLIBASA,,30,0254,172,503,,1,0,False
409,CHC NIMDIH,PHC CHAOLIBASA,,30,0257,178,501,,2,0,False
410,PHC HANTAR PATHARDIH,PHC CHAOLIBASA,,30,0257,178,502,,1,0,False
411,CHC ICHAGARH,CHC ICHAGARH,,30,0255,175,501,,2,0,False
412,PHC TIRULDIH,PHC TIRULDIH,,30,0255,175,502,,1,0,False
415,CHC MANOHARPUR,CHC MANOHARPUR,,29,0241,203,501,,2,0,False
416,PHC CHOTA NAGARA,PHC CHOTA NAGARA,,29,0241,203,502,,1,0,False
417,PHC JARAIKELA,PHC JARAIKELA,,29,0241,203,503,,1,0,False
418,PHC ANANDPUR,PHC ANANDPUR,,29,0241,203,504,,1,0,False
419,CHC SONUA,CHC SONUA,,29,0234,138,501,,2,0,False
420,PHC KHARIMATI,PHC KHARIMATI,,29,0234,138,502,,1,0,False
421,CHC CHAKRADHARPUR,CHC CHAKRADHARPUR,,29,0237,128,501,,2,0,False
422,PHC HATIA,PHC HATIA,,29,0237,128,502,,1,0,False
423,CHC BANDGAON,CHC BANDGAON,,29,0236,127,501,,2,0,False
424,PHC KARAIKELA,PHC KARAIKELA,,29,0236,127,502,,1,0,False
425,PHC DUDHKUNDI,PHC DUDHKUNDI,,29,0236,127,503,,1,0,False
426,CHC BALIYAPUR,CHC BALIYAPUR,,12,0092,25,501,,2,0,False
427,CHC PALAJORI,CHC PALAJORI,,7,0060,192,501,,2,0,False
428,CHC TANDWA,CHC TANDWA,,3,0031,17,501,,2,0,False
538,CHC KATHIKUND,CHC KATHIKUND,,23,0176,193,501,,2,0,False
539,CHC SARWAN,CHC SARWAN,,7,0053,205,501,0,2,0,False
540,CHC CHAS,CHC CHAS,,13,0101,6,501,,2,0,False
541,CHC CHANDANKIYARI,CHC CHANDANKIYARI,,13,0102,5,501,,2,0,False
542,CHC PETERWAR,CHC PETERWAR,,13,0098,11,501,,2,0,False
543,CHC JARIDIH,CHC JARIDIH,,13,0100,8,501,,2,0,False
544,CHC KASMAR,CHC KASMAR,,13,0099,9,501,,2,0,False
545,CHC BERMO,CHC BERMO,,13,0096,4,501,,2,0,False
546,CHC NAWADIH,CHC NAWADIH,,13,0094,10,501,,2,0,False
547,CHC BHANDARIA,CHC BHANDARIA,,1,0019,41,501,,2,0,False
548,CHC MURHU,CHC MURHU,,26,0209,94,501,,2,0,False
549,CHC NAGARUNTARI,CHC NAGARUNTARI,,1,0009,47,501,,2,0,False
550,CHC DHURKI,CHC DHURKI,,1,0010,43,501,,2,0,False
551,CHC RANIA,CHC RANIA,,26,0208,95,501,,2,0,False
570,CHC DUMRI,CHC DUMRI,,6,0049,56,504,,2,0,False
571,CHC ARKI,CHC ARKI,,26,0211,91,501,0,2,0,False
573,CHC BAGODAR,CHC BAGODAR,,6,0047,49,503,,2,0,False
574,CHC GANDE,CHC GANDE,,6,0044,57,501,,2,0,False
575,CHC BENGABAD,CHC BENGABAD,,6,0043,50,501,8753,2,0,False
576,CHC GAWAN,CHC GAWAN,,6,0038,58,502,,2,0,False
577,CHC DHANWAR,CHC DHANWAR,,6,0041,53,501,,2,0,False
578,CHC JAMUA,CHC JAMUA,,6,0042,61,503,,2,0,False
579,CHC BIRNI,CHC BIRNI,,6,0046,51,503,,2,0,False
580,CHC DEORI,CHC DEORI,,6,0040,52,501,,2,0,False
581,CHC PIRTAND,CHC PIRTAND,,6,0050,62,501,0,2,0,False
582,CHC TISRI,CHC TISRI,,6,0039,63,502,,2,0,False
583,CHC BOARIJOR,CHC BOARIJOR,,8,0063,64,501,,2,0,False
586,CHC CHANDWA,CHC CHANDWA,,20,0149,104,501,,2,0,False
587,CHC SADAR GODDA,CHC SADAR GODDA,,8,0067,202,501,,2,0,False
588,CHC MEHERMA,CHC MEHERMA,,8,0061,66,501,,2,0,False
589,CHC KUNDHIT,CHC KUNDHIT,,24,0187,88,505,,2,0,False
590,CHC KAMDARA,CHC KAMDARA,,27,0216,75,501,,2,0,False
591,CHC BASIA,CHC BASIA,,27,0217,70,501,,2,0,False
592,CHC HIRANPUR,CHC HIRANPUR,,10,0081,114,501,,2,0,False
593,CHC KEREDARI,CHC KEREDARI,,21,0162,86,501,6195,2,0,False
